No.,Sexo,Tipo_Empleo,Tiene_Vehiculo,Edad,Ciudad_Chile,Num_Entidades_Deuda,Tiene_Tarjeta,Saldo_Tarjeta_CLP,Saldo_Total_CLP,Variacion_Endeudamiento,Peor_Calificacion_36M,Peor_Calificacion_12M,Reportes_Central_36M,Reportes_Central_12M,Promedio_Saldo_CLP,Maximo_Saldo_CLP,Ingreso_CLP,Ratio_Saldo_Ingreso,ScoreRiesgo,RiesgoAlto
1407,F,IND,0,22,CONCEPCION,0,0,0,0,-1,0,,11,0,538713,935000,595000,0,0,0
1408,F,DEP,0,26,SANTIAGO,1,0,0,279650,-0.50012759984688,1,1,35,12,886197.5,1731977,1105000,0.0210897419992653,10.98,0
1409,F,DEP,0,41,SANTIAGO,1,0,0,3666084,0,2,0,36,12,1858097.7,4250000,1105000,0.276476902226478,4.82,0
1410,F,DEP,0,36,SANTIAGO,3,0,0,3905529,-0.227088348824395,1,0,36,12,3473704.01,6062259.5,1275000,0.255263316649457,11.36,1
1411,M,IND,0,26,SANTIAGO,2,1,941171,941171,-0.610705031519511,2,0,36,12,1112105.4,2417629.5,1020000,0.0768930492734437,7.09,0
1412,F,IND,0,60,SANTIAGO,2,0,0,4690699.5,-0.189247785518484,0,0,28,12,3685320.6,7370630.5,2720000,0.143710151847115,7.46,0
1413,F,IND,0,63,SANTIAGO,4,1,3788781.5,8641788.5,0.040399459378285,0,0,21,12,4007988,8490225,1020000,0.706028414540162,17.01,1
1414,F,IND,0,63,CONCEPCION,2,0,0,2878822.5,-0.256264367816092,0,0,36,12,3453074.51,4437000,850000,0.28223747232966,8.16,0
1415,M,IND,0,36,SANTIAGO,4,1,6637327,9345495,0.0370215964814817,0,0,30,12,5616167,9011861.5,3825000,0.203605551119705,14.45,1
1416,M,IND,0,64,SANTIAGO,2,1,3197105,4590629,0.953152462443131,2,0,25,7,572346.31,2350369,3400000,0.112515413908936,7.38,0
1418,F,DEP,0,34,CONCEPCION,4,1,2732036,8958855.5,0.197167868586558,0,0,20,12,4300504.7,7483374.5,3230000,0.231136616843741,14.6,1
1419,M,IND,1,40,SANTIAGO,0,0,0,0,-0.625206510520802,0,0,18,10,19264748.5,25061374.5,2201500,0,0.03,0
1420,M,DEP,0,36,SANTIAGO,3,1,1644673.5,7048404,-0.402122792002867,3,1,36,12,9103108.41,11789049.5,1190000,0.493585679720891,20.06,1
1421,F,IND,0,54,SANTIAGO,2,0,0,1792021,-0.516186600555637,0,0,36,12,3999455.7,6253722,1870000,0.0798583297745842,7.11,0
1422,F,IND,0,57,SANTIAGO,1,0,0,374357,-0.563346155011055,2,0,22,12,908887.4,1122578,2550000,0.0122338884890886,3.43,0
1423,F,IND,0,51,SANTIAGO,1,0,0,143633,-0.749605440464768,0,0,18,12,1144452.41,1621111.5,1190000,0.0100583326289683,3.4,0
1424,M,IND,0,63,SANTIAGO,2,0,0,5600514,0.0860920593626205,0,0,29,12,4023339,5750420,1870000,0.249577261605291,8.02,0
1425,M,DEP,0,30,CONCEPCION,1,0,0,519392.5,-0.338735213830755,0,0,12,12,839106.74,934150,1020000,0.0424340243109457,3.6,0
1426,F,IND,0,24,CONCEPCION,2,0,0,1779364.5,-0.125813449023861,0,0,36,12,2738213.8,4909880.5,1530000,0.0969152724991682,7.22,0
1427,M,DEP,0,35,SANTIAGO,1,1,1844763.5,1844763.5,-0.609588757893924,4,0,34,12,2999517.91,6167243,3825000,0.0401909250503066,3.57,0
1428,M,DEP,0,31,SANTIAGO,2,1,470857.5,1752785,0.0112278039282721,0,0,11,9,568767.38,2038733.5,2550000,0.057280553683642,7.03,0
1429,M,DEP,0,23,CONCEPCION,1,1,730898,730898,-0.116584745363464,1,0,36,12,1663763.31,2165086,1700000,0.0358283315770426,3.58,0
1430,F,DEP,0,45,SANTIAGO,2,1,3043612,16900516,-0.00634669678147939,4,0,33,12,12177396.9,17687862.5,2465000,0.571349405971961,9.65,0
1431,F,IND,0,32,SANTIAGO,1,0,0,79645,-0.63696,0,0,11,11,612670.39,850000,1487500,0.00446190451193812,3.38,0
1432,F,IND,0,28,VALDIVIA,0,0,0,0,-1,0,0,3,3,444977.8,605438,4165000,0,0,0
1433,M,IND,0,29,SANTIAGO,3,1,4632593.5,7793488.5,-0.165165170350405,0,0,30,12,7551454.4,9845456.5,3009000,0.215838270858583,11.16,0
1434,M,IND,0,32,SANTIAGO,1,0,0,1561178,-0.143638461538462,0,0,31,12,573270,2210000,2125000,0.0612226642657779,3.71,0
1435,M,DEP,0,28,SANTIAGO,2,1,2108637.5,4916187.5,-0.638126637190857,1,1,36,12,14175567.3,20001486,3400000,0.120494788713363,14.81,1
1436,F,IND,0,47,SANTIAGO,3,1,555194.5,3025005.5,-0.273578767063061,0,0,33,12,2082625.8,4833321,1190000,0.211835104213228,11.13,0
1437,F,DEP,0,23,SANTIAGO,0,0,0,0,-1,1,,14,0,513604,1002167,926500,0,0,0
1438,F,IND,0,27,SANTIAGO,2,0,0,14741142,0.124984064491377,0,0,36,12,7803772.9,14201774.5,2082500,0.589881609048355,9.76,0
1439,F,IND,0,25,CONCEPCION,4,1,859205.5,1631090.5,0.137455672494605,3,0,36,12,1225327.1,1788111,1207000,0.112613255135787,13.99,1
1440,M,IND,0,32,SANTIAGO,1,0,0,326825,-0.459598318542737,0,0,6,6,1459353.61,1710659,1700000,0.0160208325479984,3.45,0
1441,M,DEP,0,25,CONCEPCION,1,1,2938450,2938450,-0.0672336475832259,2,1,35,12,2224179.1,3150253,1530000,0.160046287579178,11.72,1
1442,F,IND,0,61,SANTIAGO,1,0,0,3444208.5,0.611938339134759,2,0,36,12,1443712.5,2136687.5,1207000,0.237793997666805,4.66,0
1443,M,IND,0,51,SANTIAGO,2,1,736669.5,8835333.5,-0.791234027221946,0,0,17,12,8935776.72,44401050.5,2550000,0.28873637945306,8.15,0
1444,F,DEP,0,34,VALDIVIA,4,0,0,12037300.5,-0.208366750392926,0,0,36,12,11323056.21,17360145,1530000,0.655626353179393,16.73,1
1445,F,IND,0,34,SANTIAGO,3,1,736006.5,2855796,-0.197164616795531,0,0,23,12,2664155,4689807,4250000,0.0559959989020392,10.34,0
1446,F,IND,0,58,SANTIAGO,2,0,0,2702651.5,5.35918,0,0,12,12,302054.98,425000,3238500,0.0695448363556987,7.49,0
1447,M,DEP,0,58,SANTIAGO,2,0,0,6870584,0.453650834186073,1,0,36,12,1712234.3,4726433.5,1445000,0.396227428129906,8.79,0
1448,F,DEP,0,36,CONCEPCION,0,0,0,0,-0.0479119412941961,0,0,4,4,1264440.11,1274150,1530000,0,0.07,0
1449,M,DEP,0,36,CONCEPCION,1,0,0,469701.5,-0.545005720823799,1,0,30,12,1167930.68,1485800,1445000,0.0270877435358856,3.5,0
1450,F,IND,0,31,SANTIAGO,1,0,0,196375.5,-0.599897483341043,0,0,22,12,727716.11,1359779,6970000,0.00234786582558745,3.37,0
1451,F,IND,0,53,SANTIAGO,1,0,0,6364349.5,-0.438127672844219,1,0,33,12,6030847.41,12102393.5,1955000,0.271285133363805,4.76,0
1452,M,DEP,0,28,SANTIAGO,2,1,1383834,5647417,-0.0262937603595386,4,0,29,12,3485205.7,6112724,1360000,0.346042687129737,8.5,0
1453,M,DEP,0,25,SANTIAGO,1,0,0,1735385.5,-0.19084293615054,0,0,27,12,965330.8,2482127.5,1275000,0.113423881475563,3.97,0
1454,M,DEP,0,48,SANTIAGO,1,1,1129165.5,1129165.5,0.102118786073357,4,0,33,11,667911.72,1141337.5,1700000,0.0553512472867036,3.7,0
1455,M,DEP,0,62,SANTIAGO,1,1,2869863.5,2869863.5,-0.300223498039958,1,0,35,12,3564290.8,5750386,2720000,0.0879247368895608,3.83,0
1456,M,DEP,0,42,SANTIAGO,0,0,0,0,0,0,,17,0,0,0,2125000,0,0.07,0
1457,M,DEP,0,38,VALPARAISO,1,0,0,528275,-0.878361709668383,0,0,15,7,2378450.11,5492164.5,1530000,0.0287731465809833,3.49,0
1458,F,DEP,0,23,SANTIAGO,1,0,0,1925343.5,1.28473588121968,0,0,20,5,481152.53,842698.5,1105000,0.145199348024182,4.24,0
1459,M,DEP,1,38,SANTIAGO,2,1,5153694.5,5153694.5,2.2816642220406,0,0,10,10,1292412.84,1570451.5,2040000,0.210526727511163,7.98,0
1460,M,IND,1,28,SANTIAGO,3,1,93500,5590722,-0.261273994104618,1,1,33,12,6049990.6,10115714,2550000,0.182703327362636,18.49,1
1461,M,DEP,0,25,SANTIAGO,0,0,0,0,0,0,,5,0,0,0,2040000,0,0.07,0
1462,F,IND,1,54,SANTIAGO,2,1,693897.5,2097868,-0.581331096964977,3,0,36,12,2991598.2,5817765.5,952000,0.183636888687247,7.63,0
1463,M,IND,1,52,SANTIAGO,2,0,0,5302495.5,-0.701636495230501,2,2,36,12,17752990.01,27457703,3060000,0.144403468289666,22.42,1
1464,F,DEP,0,23,SANTIAGO,2,0,0,1549839,-0.14236124176858,0,0,18,12,854905.6,1807100,1530000,0.0844138842911828,7.16,0
1465,M,DEP,0,56,SANTIAGO,3,1,382559.5,2629092.5,-0.609827403857979,1,1,36,12,5811429,7602893,2125000,0.103101662623464,18.05,1
1466,M,DEP,0,26,SANTIAGO,3,1,5438759,10350237.5,-0.014317016683686,3,0,36,12,7443478.3,13076816.5,2125000,0.405891650749347,12.14,1
1467,F,DEP,0,40,SANTIAGO,3,1,3286576,3668600,0.00160766951590274,0,0,33,12,2687196.2,3738019.5,1190000,0.256904743914234,11.38,1
1468,F,DEP,0,31,SANTIAGO,0,0,0,0,-1,0,0,12,6,978140.99,1700000,1275000,0,0,0
1469,M,DEP,0,51,SANTIAGO,1,0,0,767414,-0.524614889198496,1,1,30,12,1458820.4,2586788,2210000,0.028937178396034,11.02,0
1470,M,IND,0,42,SANTIAGO,2,0,0,1909865,0.0131439522038102,1,0,19,12,1378649.94,1885087.5,1717000,0.0926938898906091,7.21,0
1471,F,DEP,0,34,CONCEPCION,1,1,572203,572203,-0.545368862993745,2,0,36,12,1012603.81,1785663,1700000,0.0280491652917076,3.51,0
1472,M,IND,0,28,VALPARAISO,4,1,1943406,5165110,-0.44107645624482,1,0,36,12,6453903.8,9241174.5,2380000,0.180851184143866,14.3,1
1473,M,IND,1,59,SANTIAGO,1,0,0,673089.5,-0.570475932433689,4,0,30,12,1621830,2101905.5,7650000,0.00733212954975894,3.4,0
1474,M,IND,0,65,SANTIAGO,0,0,0,0,0,,,0,0,0,0,2023000,0,0.07,0
1475,M,DEP,0,51,VALPARAISO,1,1,1003459,1003459,-0.815392393525738,4,0,36,12,1575892.01,7162083,2125000,0.0393513317901438,3.55,0
1476,F,IND,1,54,SANTIAGO,1,1,899436,899436,-0.348168506999695,0,0,18,10,1374333.38,1586533.5,850000,0.0881799913549028,3.83,0
1477,F,DEP,1,42,SANTIAGO,1,0,0,5169224,-0.370376150182642,2,2,36,12,7341279.4,8823816,920550,0.467947018272861,20.76,1
1478,F,IND,0,40,SANTIAGO,1,1,216979.5,216979.5,-0.818961298695772,4,0,36,12,337692.5,1198525.5,1096500,0.0164903088242659,3.43,0
1479,M,IND,0,58,CONCEPCION,1,1,7325912,7325912,-0.200016624359802,2,1,36,12,5279786.9,9305621.5,1700000,0.359113315729739,12.72,1
1480,M,IND,0,55,SANTIAGO,2,1,273062.5,2563812.5,-0.0985972487538008,4,0,28,12,2584368.98,3759932.5,850000,0.251354142024104,8.01,0
1481,F,IND,0,30,SANTIAGO,1,0,0,2550000,0.250724377868849,2,0,32,12,927763.1,2038818.5,3315000,0.0641025624911372,3.75,0
1482,F,IND,0,41,SANTIAGO,3,1,2148536.5,2148536.5,-0.250667015593342,0,0,17,10,1427437.38,4157511.5,3400000,0.052660207042642,10.32,0
1483,M,DEP,0,47,SANTIAGO,1,0,0,5806069.5,0.595485952610519,0,0,36,12,2794177.8,3817239.5,673200,0.718715188810261,7.11,0
1484,M,DEP,0,37,CONCEPCION,1,0,0,5295364,-0.308005738427307,0,0,36,12,5627654.5,8603054,1530000,0.28841850280945,4.85,0
1485,M,IND,0,53,CONCEPCION,2,1,11343615.5,15311934,-0.0419021927594475,2,2,36,12,12305739,15981598,1912500,0.667186637595353,25.14,1
1486,F,DEP,0,44,CONCEPCION,0,0,0,0,-0.191626560304737,2,0,29,7,1396281.4,1990436.5,850000,0,0.06,0
